         4208531 function calls (4200528 primitive calls) in 515.262 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11628    0.005    0.000    0.007    0.000 util.py:19(to_str)
     1370    0.004    0.000    0.007    0.000 geodesic.py:255(_C2f)
      646    0.003    0.000    0.007    0.000 models.py:106(_encode_params)
     5168    0.004    0.000    0.007    0.000 <frozen _collections_abc>:790(items)
    14858    0.005    0.000    0.007    0.000 threading.py:271(__enter__)
     6460    0.007    0.000    0.007    0.000 {built-in method builtins.round}
     6461    0.003    0.000    0.006    0.000 {built-in method builtins.any}
     1938    0.001    0.000    0.006    0.000 sessions.py:84(<listcomp>)
    21982    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
     1938    0.006    0.000    0.006    0.000 threading.py:243(__init__)
      645    0.004    0.000    0.006    0.000 creation.py:176(polygons)
     2614    0.006    0.000    0.006    0.000 {method 'writerow' of '_csv.writer' objects}
     5814    0.004    0.000    0.006    0.000 url.py:332(_idna_encode)
     1292    0.005    0.000    0.006    0.000 contextlib.py:104(__init__)
     1292    0.006    0.000    0.006    0.000 {method 'readlines' of '_io._IOBase' objects}
     3419    0.006    0.000    0.006    0.000 {built-in method numpy.empty}
     3876    0.006    0.000    0.006    0.000 enum.py:1095(__new__)
    17459    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x00007FFDF33F0FD0}
    10990    0.004    0.000    0.006    0.000 iostream.py:505(parent_header)
     1292    0.004    0.000    0.006    0.000 typing.py:373(inner)
      646    0.003    0.000    0.006    0.000 response.py:117(__init__)
      646    0.004    0.000    0.006    0.000 request.py:189(body_to_chunks)
    50281    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
    25221    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
    14858    0.004    0.000    0.005    0.000 threading.py:274(__exit__)
3249/3248    0.002    0.000    0.005    0.000 {built-in method builtins.all}
      646    0.005    0.000    0.005    0.000 feedparser.py:52(__init__)
     7753    0.003    0.000    0.005    0.000 <string>:1(<lambda>)
     2584    0.003    0.000    0.005    0.000 message.py:29(_splitparam)
      646    0.004    0.000    0.005    0.000 geodesic.py:484(_InverseStart)
     6460    0.003    0.000    0.005    0.000 geomath.py:88(remainder)
     1292    0.004    0.000    0.005    0.000 url.py:263(_remove_path_dot_segments)
      646    0.001    0.000    0.005    0.000 utils.py:774(get_proxy)
    14858    0.004    0.000    0.005    0.000 queue.py:248(_qsize)
      646    0.002    0.000    0.005    0.000 response.py:495(_flush_decoder)
     4756    0.004    0.000    0.005    0.000 geomath.py:34(norm)
     4038    0.004    0.000    0.005    0.000 decorators.py:64(<listcomp>)
     1938    0.004    0.000    0.005    0.000 connection.py:164(host)
     8398    0.004    0.000    0.005    0.000 message.py:507(set_raw)
    73644    0.005    0.000    0.005    0.000 {built-in method builtins.ord}
     1292    0.002    0.000    0.005    0.000 cookies.py:542(merge_cookies)
     1292    0.003    0.000    0.005    0.000 __init__.py:1467(debug)
     3876    0.004    0.000    0.005    0.000 cookiejar.py:1227(deepvalues)
     2584    0.005    0.000    0.005    0.000 cookiejar.py:884(__init__)
     5272    0.002    0.000    0.005    0.000 {built-in method builtins.issubclass}
     5814    0.005    0.000    0.005    0.000 {method 'fullmatch' of 're.Pattern' objects}
        1    0.000    0.000    0.005    0.005 file.py:190(_read_file)
     1938    0.001    0.000    0.005    0.000 cookies.py:534(<listcomp>)
        1    0.000    0.000    0.004    0.004 file.py:458(_read_file_pyogrio)
        1    0.000    0.000    0.004    0.004 geopandas.py:72(read_dataframe)
      647    0.003    0.000    0.004    0.000 threading.py:1192(is_alive)
      646    0.002    0.000    0.004    0.000 parse.py:847(quote)
     1292    0.003    0.000    0.004    0.000 client.py:436(flush)
      646    0.001    0.000    0.004    0.000 timeout.py:172(from_float)
      646    0.001    0.000    0.004    0.000 models.py:630(prepare_hooks)
      724    0.002    0.000    0.004    0.000 geodesic.py:405(_C3f)
      646    0.004    0.000    0.004    0.000 ssl.py:740(verify_mode)
     1292    0.003    0.000    0.004    0.000 parse.py:520(urlunsplit)
      646    0.001    0.000    0.004    0.000 models.py:572(prepare_content_length)
     1292    0.002    0.000    0.004    0.000 distance.py:419(meters)
      646    0.004    0.000    0.004    0.000 {method '_set_alpn_protocols' of '_ssl._SSLContext' objects}
     2016    0.002    0.000    0.004    0.000 geodesic.py:195(_A1m1f)
      646    0.004    0.000    0.004    0.000 weakref.py:568(__init__)
      646    0.004    0.000    0.004    0.000 {method 'getsockopt' of '_socket.socket' objects}
      645    0.004    0.000    0.004    0.000 creation.py:124(linearrings)
     1296    0.002    0.000    0.004    0.000 numerictypes.py:470(issubdtype)
